prompt,video_url
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/ec1e3bb4-57d0-4596-af5a-df06d71be215.mp4
No prompt found,https://cdn.higgsfield.ai/minimax_hailuo_sample/bffda525-1148-461c-8e52-1fc7cb9e2ddd.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/fab05a93-c4dd-4a3f-86fe-9546849009b2.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/6144e637-bb0f-47a4-9e31-8cd252690aab.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/506e1b2a-6557-48db-aac5-f16893be4dc5.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/a585ab82-561c-45c1-927a-4deeec0a34ce.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/c4eba2ba-5f4a-4bfe-ae1a-a2615d9c2a79.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/73a30c49-0120-40da-a480-8d8637a6f167.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/5d09e451-eba8-4c3f-8d7e-580c3401634d.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/4b5131cc-7a81-46d1-9307-e37e27458242.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/8e8d4129-fcfe-451a-8fdd-5331baa96ee4.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/1bfb7413-0a9d-406e-85a1-69a734111af8.mp4
