prompt,video_url
panda,https://cdn.higgsfield.ai/kling_video_sample/7c7ee299-3129-4f3f-906b-a3cdec47a0a8.mp4
panda,https://cdn.higgsfield.ai/kling_video_sample/b3b37dad-8249-4994-b08b-023a3741edb0.mp4
panda,https://cdn.higgsfield.ai/kling_video_sample/10a2efde-9b06-4813-8093-08b984e7ecad.mp4
Должны войти два волка и сесть рядом перед парнями смотреть в камеру,https://cdn.higgsfield.ai/kling_video_sample/ae709a0a-6a4f-4116-a4d0-f193d1ae819e.mp4
,https://cdn.higgsfield.ai/kling_video_sample/a09e0043-7c2d-498d-81f5-08748942142d.mp4
Должен войти медвежонок и стукаться об ногу девушки девушка умиляется пытается погладить его.,https://cdn.higgsfield.ai/kling_video_sample/fdd45566-bf56-4da7-9829-aa997cc3a101.mp4
пусть появляется панда и смотрит на парня,https://cdn.higgsfield.ai/kling_video_sample/b447a5a0-a0f3-4d8f-bdb2-84aa6c5e2826.mp4
,https://cdn.higgsfield.ai/kling_video_sample/4f847a64-5509-4141-a59a-771d7ce93188.mp4
,https://cdn.higgsfield.ai/kling_video_sample/428d2e6f-61eb-4c35-9a5f-d41e51b5274d.mp4
пусть из воды выйдет тюлень,https://cdn.higgsfield.ai/kling_video_sample/79f0a65d-a222-44b8-9a12-83950d21c4b7.mp4
,https://cdn.higgsfield.ai/kling_video_sample/b909ca89-2d80-4e80-9602-202db8007fa6.mp4
,https://cdn.higgsfield.ai/kling_video_sample/a3733298-f616-4010-a4fa-af71f8c5e04b.mp4
