prompt,video_url
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/005f073e-0faa-4b79-a295-24aab0f6db03.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/d7a51cdc-bc3f-4d8f-9e36-c728782768b9.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/c68ee617-5c87-448e-b91b-90751caa9ea6.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/daa0eb10-b581-4429-8338-32c2f357dcc8.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/d32e20ce-3e01-4e25-9d95-bab2de50333a.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/a0d4ae4b-2a86-46d2-86cb-78108915ce3c.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/ce005337-a9d0-4952-a6eb-5125220b26cb.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/8a3d91f5-32af-407c-85b5-83f2bd5ac672.mp4
No prompt found,https://cdn.higgsfield.ai/minimax_hailuo_sample/275d9cbc-6f2b-472f-a797-b177248c303f.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/1c17efc7-6497-42b7-a4c4-62eeedb770d5.mp4
