prompt,video_url
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/ce2de8ae-0bca-4f33-a26a-b234321bce44.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/43afdcf7-42cd-4726-8d86-8431f3f7bf50.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/5a706eba-8b54-42cb-86f4-4f315f30648f.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/96af6cb6-7a56-4977-8a3c-dbc2c94adc01.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/bffdfb7c-3238-4e6d-a247-731d53c6a61e.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/a16aaa21-f620-49e0-a8a7-c30ed3b1f061.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/421aaf69-e517-4445-9383-9e1bb8e23fa8.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/b23ac21a-72c0-4439-9ae1-71406ce25f8e.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/59954139-44a4-4915-a552-63f3ef2d9eac.mp4
Your browser does not support the video.,https://cdn.higgsfield.ai/minimax_hailuo_sample/d3bb2805-91e9-4893-a01f-e5851c3e859d.mp4
